iter	MultiClass
0	1.384520677
1	1.382731132
2	1.38094788
3	1.379171984
4	1.377418961
5	1.375664003
6	1.373924851
7	1.372180798
8	1.370432904
9	1.36870171
10	1.366965667
11	1.36523522
12	1.363511169
13	1.361793231
14	1.360092351
15	1.358385074
16	1.356684737
17	1.355001468
18	1.353310701
19	1.351626464
20	1.349967455
21	1.34829452
22	1.346625886
23	1.344963067
24	1.34331585
25	1.341663189
26	1.340017802
27	1.338391404
28	1.336755959
29	1.335132994
30	1.333516088
31	1.331903946
32	1.330289051
33	1.328678791
34	1.327073205
35	1.325482608
36	1.323887796
37	1.322306767
38	1.320741158
39	1.319179365
40	1.317613723
41	1.316043688
42	1.31448813
43	1.312928702
44	1.311374105
45	1.309833193
46	1.308288103
47	1.306746495
48	1.305220347
49	1.3036981
50	1.302204999
51	1.300683132
52	1.299166967
53	1.297651361
54	1.296142685
55	1.294638393
56	1.293148482
57	1.291670828
58	1.290185041
59	1.288708014
60	1.28722613
61	1.285757517
62	1.284302052
63	1.282842854
64	1.281378949
65	1.279919265
66	1.278464384
67	1.277013256
68	1.275566688
69	1.274121829
70	1.272691655
71	1.271258599
72	1.269836841
73	1.268410999
74	1.2669891
75	1.265572874
76	1.26416071
77	1.262752054
78	1.261354835
79	1.259970647
80	1.258573121
81	1.257196434
82	1.25580758
83	1.254423149
84	1.253050562
85	1.251673696
86	1.250300692
87	1.248938888
88	1.247590327
89	1.24624476
90	1.24488629
91	1.243539518
92	1.242189312
93	1.2408501
94	1.239516
95	1.238193802
96	1.236855072
97	1.23552865
98	1.234200375
99	1.232876398
100	1.231554637
101	1.230237042
102	1.228939482
103	1.2276297
104	1.226332113
105	1.225030459
106	1.223731192
107	1.222451563
108	1.22116661
109	1.219905312
110	1.21862022
111	1.217338229
112	1.21607454
113	1.214798732
114	1.213527101
115	1.212260205
116	1.211003442
117	1.209768556
118	1.208510474
119	1.207256647
120	1.206005604
121	1.204758282
122	1.203539792
123	1.202299024
124	1.201061688
125	1.199833317
126	1.198601948
127	1.197372982
128	1.196147897
129	1.194926352
130	1.193707428
131	1.192491946
132	1.191279581
133	1.190077905
134	1.188872517
135	1.187669794
136	1.186483051
137	1.185294002
138	1.18410776
139	1.182922948
140	1.181748554
141	1.180565255
142	1.179383302
143	1.178204976
144	1.177037345
145	1.175865889
146	1.174705628
147	1.173538673
148	1.172382115
149	1.171227502
150	1.170077265
151	1.168936921
152	1.167785316
153	1.16663333
154	1.165486814
155	1.164357202
156	1.163217177
157	1.162079942
158	1.160944931
159	1.159813277
160	1.158684943
161	1.157572175
162	1.156448317
163	1.155333739
164	1.154224066
165	1.153116082
166	1.151999288
167	1.150888704
168	1.149805168
169	1.148701473
170	1.147600193
171	1.146501165
172	1.145405364
173	1.144309758
174	1.143219229
175	1.14213144
176	1.141059429
177	1.13997748
178	1.138898028
179	1.137826109
180	1.136758575
181	1.135693005
182	1.134622364
183	1.133554617
184	1.132496426
185	1.131447208
186	1.130388229
187	1.129338184
188	1.128296218
189	1.127244042
190	1.12619539
191	1.125148713
192	1.124105389
193	1.123076313
194	1.122058984
3357
195	1.121281583
196	1.120261024
197	1.119230208
198	1.118202107
199	1.117176796
200	1.116159797
201	1.115139706
202	1.114121167
203	1.113103848
204	1.112089802
205	1.111098513
206	1.110089722
207	1.109083498
208	1.108078518
209	1.107083092
210	1.106085901
211	1.105094249
212	1.104104441
213	1.103111798
214	1.102127411
215	1.101138855
216	1.100153543
217	1.099170205
218	1.098189885
219	1.097216947
220	1.096246206
221	1.09528314
222	1.094309548
223	1.093339446
224	1.092371377
225	1.091404786
226	1.090441441
227	1.089476932
228	1.088517934
229	1.087560806
230	1.086603911
231	1.085650716
232	1.084700625
233	1.083758288
234	1.082811903
235	1.081867537
236	1.080925334
237	1.079985094
238	1.079046573
239	1.07812135
240	1.077187491
241	1.076252706
242	1.075323464
243	1.074396422
244	1.073477326
245	1.072554127
246	1.071632713
247	1.070718824
248	1.069808085
249	1.068892631
250	1.067976429
251	1.067070897
252	1.066167375
253	1.065266361
254	1.064361409
255	1.063452779
256	1.062551723
257	1.061657379
258	1.060765548
259	1.059870034
260	1.058976741
261	1.05809104
262	1.057207224
263	1.056324769
264	1.055438481
265	1.054559687
266	1.053677794
267	1.0527975
268	1.051919632
269	1.051043504
270	1.050169553
271	1.049302508
272	1.048431033
273	1.047557658
274	1.04669084
275	1.045836552
276	1.044973662
277	1.044123225
278	1.043273627
279	1.042421365
280	1.0415709
281	1.040716539
282	1.039869922
283	1.039019846
038557735
284	1.037712187
285	1.036863756
286	1.03601744
287	1.035172362
288	1.034335215
289	1.033494325
089315549
276	0.5085664393
277	0.5082346748
278	0.507902267
279	0.5075008313
280	0.5071808111
281	0.5068586354
282	0.5065497412
283	0.5062387939
284	0.50591591
285	0.5055865626
286	0.5052870891
287	0.5049319106
288	0.5046317417
289	0.5042921673
290	0.5040038569
291	0.5036519229
292	0.5033076584
293	0.50298472
294	0.5026996081
295	0.5024220006
296	0.5021537663
297	0.5018293326
298	0.5015718048
299	0.5013095516
