iter	Passed	Remaining
0	3377	1009969
1	6540	974575
2	9806	970878
3	13051	965820
4	16435	969699
5	19515	956250
6	22600	946004
7	25467	929562
8	28939	935726
9	32380	939037
10	35571	934564
11	38811	931470
12	41897	924957
13	44956	918398
14	48146	914784
15	51242	909549
16	54467	906722
17	57800	905534
18	61100	903640
19	64396	901544
20	67712	899610
21	70905	895988
22	74345	895376
23	77895	895803
24	81260	893866
25	84507	890578
26	87931	889082
27	91126	885228
28	94268	880919
29	97447	877023
30	100591	872876
31	103718	868644
32	106898	864903
33	110181	862006
34	113014	855678
35	116120	851547
36	119682	850716
37	123015	848162
38	126890	849187
39	130613	848989
40	134667	850704
41	138565	851190
42	142025	848848
43	145876	848738
44	149978	849876
45	153744	848938
46	157073	845525
47	161049	845507
48	164473	842505
49	168371	841856
50	172025	839887
51	175970	839244
52	179792	837902
53	183464	835782
54	187017	833077
55	190554	830271
56	193631	825483
57	197491	824018
58	200832	820350
59	204009	816036
60	207749	813969
61	210986	809917
62	214437	806693
63	217725	802861
64	221571	801067
65	225413	799193
66	228734	795448
67	232063	791746
68	235299	787742
69	238364	783196
70	241552	779092
71	244826	775282
72	248334	772217
73	252342	770666
74	256463	769389
75	260728	768462
76	264509	766047
77	268504	764204
78	272681	762817
79	276320	759880
80	279827	756571
81	283507	753714
82	287444	751511
83	291331	749138
84	295252	746815
85	299209	744545
86	302373	740294
87	305654	736348
88	309147	732921
89	312573	729337
90	316448	726787
91	319907	723269
92	323450	719937
93	326888	716372
94	330770	713767
95	334312	710413
96	338062	707491
97	341455	703817
98	345107	700672
99	348623	697246
100	352536	694601
101	356587	692199
102	360240	689003
103	365276	688405
104	369158	685580
105	373241	683101
106	376073	678337
107	379110	673974
108	381693	668839
109	384235	663680
110	387625	660010
111	391299	656823
112	394695	653168
113	397978	649333
114	401626	646094
115	404858	642188
116	407425	637255
117	410624	633336
118	413004	628183
119	415813	623720
120	417987	618345
121	420771	613912
122	423482	609401
123	426355	605150
124	429134	600787
125	432142	596768
126	434945	592484
127	437736	588207
128	440733	584228
129	443618	580116
130	446260	575709
131	448953	571395
132	452257	567871
133	454968	563618
134	458091	559890
135	460690	555538
136	463549	551521
137	466433	547551
138	468946	543167
139	471686	539070
140	474226	534766
141	476760	530479
142	479431	526369
143	482480	522686
144	485654	519148
145	488849	515635
146	491293	511346
147	494248	507606
148	497463	504140
149	500925	500925
150	503306	496640
151	506426	493099
152	510488	490469
153	513893	487197
154	516662	483329
155	519516	479554
156	522522	475928
157	525731	472492
158	528020	468244
159	530732	464391
160	533737	460804
161	536661	457155
162	539235	453222
163	541674	449193
164	544514	445512
165	547456	441922
166	550305	438266
167	553026	434521
168	555647	430708
169	558901	427395
170	561699	423738
171	564478	420077
172	567368	416507
173	570047	412793
174	572547	408962
175	575316	405336
176	577909	401597
177	580617	397951
178	583982	394759
179	587539	391693
180	590722	388375
181	593990	385114
182	597583	382061
183	600849	378796
184	603296	375022
185	605982	371408
186	608795	367881
187	611595	364354
188	614591	360950
189	617479	357488
190	620607	354168
191	623466	350699
192	626551	347362
193	630173	344321
194	633291	341003
6
195	658308	349306
196	662627	346450
197	665932	343056
198	668459	339268
199	671075	335537
200	673708	331826
201	677147	328517
202	680900	325356
203	684164	321959
204	687322	318515
205	691044	315331
206	694424	311987
207	697097	308331
208	700381	304950
209	703158	301353
210	706023	297801
211	708588	294131
212	711135	290463
213	713789	286850
214	716891	283422
215	720131	280051
216	722819	276470
217	725610	272935
218	728804	269557
219	731767	266097
220	734450	262541
221	737385	259081
222	741026	255870
223	743849	252377
224	746770	248923
225	749693	245475
226	752485	241988
227	755216	238489
228	757802	234951
229	760315	231400
230	762729	227828
231	765442	224353
232	767854	220799
233	771284	217541
234	774683	214274
235	778103	211011
236	780650	207514
237	783613	204134
238	786745	200801
239	789998	197499
240	792588	194036
241	796386	190869
242	799926	187637
243	803018	184299
244	805973	180932
245	809102	177607
246	812029	174241
247	815078	170903
248	817766	167494
249	819098	163819
250	822280	160524
251	825216	157184
252	828086	153834
253	830514	150408
254	833447	147079
255	836586	143788
256	839436	140450
257	842366	137129
258	845190	133794
259	848243	130499
260	851238	127196
261	854092	123875
262	856851	120545
263	859462	117199
264	861713	113811
265	864664	110521
266	867173	107178
267	870686	103962
268	873938	100714
269	877190	97465
270	880307	94202
271	883463	90944
272	887063	87731
273	889788	84432
274	892302	81118
275	895123	77836
276	898154	74575
277	900986	71301
278	904463	68077
279	907405	64814
280	910573	61569
281	913713	58322
282	917421	55110
283	920729	51872
	921879	48519
285	925258	45292
286	928902	42075
287	930932	38788
288	931901	35470
289	932867	32167
290	958916	29657
291	962901	26380
292	966261	23084
293	970011	19796
294	973523	16500
295	977320	13207
296	981396	9913
297	985911	6616
298	989491	3309
299	993696	0
